#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
e542ce1613           -            545 AB_hydrolase.aln     -            334   1.1e-09   33.1   0.0   1   1   3.3e-11   1.3e-09   32.9   0.0    44   187    20   236     1   334 0.68 -
03f3222488           -            548 AB_hydrolase.aln     -            334   1.4e-09   32.8   0.0   1   1   4.7e-11   1.9e-09   32.4   0.0    70   187   108   239    63   324 0.76 -
f41c6d89a0           -            555 AB_hydrolase.aln     -            334   1.4e-09   32.8   0.0   1   1   4.8e-11   1.9e-09   32.4   0.0    70   187   108   239    65   329 0.75 -
114e6d2abe           -            545 AB_hydrolase.aln     -            334   1.5e-09   32.7   0.0   1   1   4.4e-11   1.7e-09   32.5   0.0    44   187    48   236     1   338 0.67 -
54b0f51654           -            548 AB_hydrolase.aln     -            334   2.1e-09   32.3   0.0   1   1   6.8e-11   2.7e-09   31.9   0.0    70   185   108   237    65   318 0.76 -
9c28e36175           -            545 AB_hydrolase.aln     -            334   2.2e-09   32.2   0.0   1   1     7e-11   2.8e-09   31.9   0.0    47   187    64   236     6   327 0.69 -
afb51f2a48           -            545 AB_hydrolase.aln     -            334   1.9e-08   29.1   0.0   1   1   5.5e-10   2.2e-08   28.9   0.0    46   185    63   234     1   321 0.66 -
4fd7439f5f           -            545 AB_hydrolase.aln     -            334   3.1e-08   28.4   0.0   1   1   9.1e-10   3.6e-08   28.2   0.0    46   185    63   234     1   323 0.65 -
59bb4d8994           -            545 AB_hydrolase.aln     -            334   3.5e-08   28.2   0.0   1   1     1e-09   4.1e-08   28.0   0.0    46   185    63   234     1   321 0.65 -
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /gpfs/work/bio/yueqingxing22/igem/HMM/hmm_profiles/clan_families/hmm/AB_hydrolase.hmm
# Target file:     /gpfs/work/bio/yueqingxing22/igem/HMM/data/unknown_sequences/proteins_converted.fasta
# Option settings: hmmsearch --tblout /gpfs/work/bio/yueqingxing22/igem/HMM/annotation_results/clan_families/AB_hydrolase/AB_hydrolase.tblout.tsv --domtblout /gpfs/work/bio/yueqingxing22/igem/HMM/annotation_results/clan_families/AB_hydrolase/AB_hydrolase.domtblout.tsv --cpu 4 /gpfs/work/bio/yueqingxing22/igem/HMM/hmm_profiles/clan_families/hmm/AB_hydrolase.hmm /gpfs/work/bio/yueqingxing22/igem/HMM/data/unknown_sequences/proteins_converted.fasta 
# Current dir:     /gpfs/work/bio/yueqingxing22/igem/HMM/scripts
# Date:            Thu Aug 28 13:04:54 2025
# [ok]
